class,namespace,qualifiedName,name,type,format,constraints,comment
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/vernacularName,vernacularName,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/nomenclaturalCode,nomenclaturalCode,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/taxonomicStatus,taxonomicStatus,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/nomenclaturalStatus,nomenclaturalStatus,string,default,,
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/taxonRemarks,taxonRemarks,string,default,,
MeasurementOrFact,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/measurementID,measurementID,string,default,,
MeasurementOrFact,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/measurementType,measurementType,string,default,,
MeasurementOrFact,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/measurementValue,measurementValue,string,default,,
MeasurementOrFact,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/measurementAccuracy,measurementAccuracy,string,default,,
MeasurementOrFact,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/measurementUnit,measurementUnit,string,default,,
MeasurementOrFact,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,measurementDeterminedBy,string,default,,
MeasurementOrFact,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,measurementDeterminedDate,string,default,,Recommended best practice is to use a date that conforms to ISO 8601:2004(E).
MeasurementOrFact,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/measurementMethod,measurementMethod,string,default,,
MeasurementOrFact,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/measurementRemarks,measurementRemarks,string,default,,
ResourceRelationship,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/resourceRelationshipID,resourceRelationshipID,string,default,,
ResourceRelationship,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/resourceID,resourceID,string,default,,
ResourceRelationship,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/relatedResourceID,relatedResourceID,string,default,,
ResourceRelationship,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/relationshipOfResource,relationshipOfResource,string,default,,
ResourceRelationship,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/relationAccordingTo,relationAccordingTo,string,default,,
ResourceRelationship,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/relationEstablishedDate,relationEstablishedDate,string,default,,
ResourceRelationship,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/relationRemarks,relationRemarks,string,default,,
ExtendedMeasurementOrFact,http://rs.iobis.org/obis/terms,http://rs.iobis.org/obis/terms/measurementID,measurementID,string,default,,
ExtendedMeasurementOrFact,http://rs.iobis.org/obis/terms,http://rs.iobis.org/obis/terms/measurementTypeID,measurementTypeID,string,default,,
ExtendedMeasurementOrFact,http://rs.iobis.org/obis/terms,http://rs.iobis.org/obis/terms/measurementValueID,measurementValueID,string,default,,
ExtendedMeasurementOrFact,http://rs.iobis.org/obis/terms,http://rs.iobis.org/obis/terms/measurementUnitID,measurementUnitID,string,default,,
